Title,Thumbnail,maps location name,General overview,Population and lifestyle,Airport name,Airport distance km,Airport drive time min,Beach name,Beach distance km,Beach drive time min,Golf course name,Golf distance km,Golf drive time min,History and character,Property styles,Property prices,Things to do,Education,Points of interest,Nearby restaurants
El Madroñal,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
El Paraiso,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
El Rosario,https://commons.wikimedia.org/wiki/Special:FilePath/La%20Esperanza%2C%20en%20el%20municipio%20de%20El%20Rosario%20%28Santa%20Cruz%20de%20Tenerife%2C%20Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
Elviria,https://commons.wikimedia.org/wiki/Special:FilePath/Elviria%2C%20Spain.jpg,,,,,,,,,,,,,,,,,,,
Estepona (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Fuengirola (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Guadalmina Baja,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Hacienda Las Chapas,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Istán,https://commons.wikimedia.org/wiki/Special:FilePath/Streets%20of%20Istan-3103%20%2851589460498%29.jpg,,,,,,,,,,,,,,,,,,,
La Cala,https://commons.wikimedia.org/wiki/Special:FilePath/Castillo%20de%20La%20Calahorra%2C%20en%20Granada%20%28Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
La Cala Golf,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
La Campana,https://commons.wikimedia.org/wiki/Special:FilePath/Casa%20%28La%20Campana%29%2005.jpg,,,,,,,,,,,,,,,,,,,
La Capellania,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
La Colina,https://commons.wikimedia.org/wiki/Special:FilePath/Estaci%C3%B3n%20de%20La%20Colina.jpg,,,,,,,,,,,,,,,,,,,
La Duquesa,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
La Herradura,https://commons.wikimedia.org/wiki/Special:FilePath/La%20Herradura%2C%20en%20Almu%C3%B1%C3%A9car%20%28Granada%2C%20Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
La Mairena,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
La Quinta,https://commons.wikimedia.org/wiki/Special:FilePath/La%20Quinta%2C%20California%20%2815656391455%29.jpg,,,,,,,,,,,,,,,,,,,
La Zagaleta,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Las Chapas,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Los Alamos,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Los Arqueros,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Los Boliches,https://commons.wikimedia.org/wiki/Special:FilePath/Los%20Boliches%2003.jpg,,,,,,,,,,,,,,,,,,,
Los Flamingos,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Los Monteros,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Málaga (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Málaga Este,https://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A1laga%20Este.jpg,,,,,,,,,,,,,,,,,,,
Manilva,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Marbella (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Marbesa,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Mijas,https://commons.wikimedia.org/wiki/Special:FilePath/Mijas%20Andalousie%20%281%29.JPG,,,,,,,,,,,,,,,,,,,
Mijas Costa,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Mijas Golf,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Monte Halcones,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Nagüeles,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
New Golden Mile,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Nueva Andalucía,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Ojén,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Puerto Banús,https://commons.wikimedia.org/wiki/Special:FilePath/Puerto%20Ban%C3%BAs%203%20%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,
Río Real,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Riviera del Sol,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Salobreña,https://commons.wikimedia.org/wiki/Special:FilePath/Salobre%C3%B1a%2C%20en%20Granada%20%28Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
San Pedro de Alcántara,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
San Roque,https://commons.wikimedia.org/wiki/Special:FilePath/San%20Roque%20%28al%20fondo%2C%20Gibraltar%29.jpg,,,,,,,,,,,,,,,,,,,
Santa Clara,https://commons.wikimedia.org/wiki/Special:FilePath/Santaclaraconventioncenter.jpg,,,,,,,,,,,,,,,,,,,
Selwo,https://commons.wikimedia.org/wiki/Special:FilePath/Delfines%20Selwo%20Marina.jpg,,,,,,,,,,,,,,,,,,,
Sierra Blanca,https://commons.wikimedia.org/wiki/Special:FilePath/Sierra%20Blanca%20TX.jpg,,,,,,,,,,,,,,,,,,,
Sierrezuela,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Sotogrande (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Sotogrande Costa,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
The Golden Mile,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Torreblanca,https://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ana%20esgl%C3%A9sia%20de%20Torreblanca.JPG,,,,,,,,,,,,,,,,,,,
Torremolinos (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Torremuelle,https://commons.wikimedia.org/wiki/Special:FilePath/Estaci%C3%B3n%20de%20Torremuelle.jpg,,,,,,,,,,,,,,,,,,,
Torrenueva,https://commons.wikimedia.org/wiki/Special:FilePath/Torre%20vig%C3%ADa%20de%20Torrenueva%20Costa%2C%20en%20Granada%20%28Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
Valle Romano,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Valtocado,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
